"","state","county","fips_code","location","area_in_sq_mi","population","housing_units","households","ppl_below_150_percent_poverty","bipoc_residents","households_with_no_vehicle","percent_of_overcrowded_housing_units","people_25_w_o_high_school_diploma","perc_below_150_percent_poverty","perc_bipoc_residents","perc_w_o_high_school_diploma","perc_hh_no_vehicle","overcrowded_housing_units"
"1","North Carolina","Wake County","37183050100","Census Tract 501; Wake County; North Carolina",0.827994967,5386,3422,2743,467,2121,166,0.8,335,0.0867062755291497,0.393798737467508,0.0621982918678054,0.0605176813707619,2737.6
"2","North Carolina","Wake County","37183050300","Census Tract 503; Wake County; North Carolina",0.40158971,3447,2671,2301,569,591,311,0,20,0.16507107629823,0.171453437771976,0.0058021467943139,0.13515862668405,0
"3","North Carolina","Wake County","37183050400","Census Tract 504; Wake County; North Carolina",0.712772864,1875,913,887,326,514,107,0,7,0.173866666666667,0.274133333333333,0.00373333333333333,0.120631341600902,0
"4","North Carolina","Wake County","37183050500","Census Tract 505; Wake County; North Carolina",1.301868376,4072,2210,2040,809,1761,72,3.2,174,0.198673870333988,0.432465618860511,0.0427308447937132,0.0352941176470588,7072
"5","North Carolina","Wake County","37183050600","Census Tract 506; Wake County; North Carolina",0.631121557,3310,1245,1004,563,1781,103,0,196,0.170090634441088,0.538066465256798,0.059214501510574,0.102589641434263,0
"6","North Carolina","Wake County","37183050700","Census Tract 507; Wake County; North Carolina",0.742915847,3506,1601,1444,1393,2667,272,1.9,524,0.397318881916714,0.760695949800342,0.149458071876783,0.188365650969529,3041.9
"7","North Carolina","Wake County","37183050800","Census Tract 508; Wake County; North Carolina",0.855964196,3740,989,816,850,2499,220,2.3,795,0.227272727272727,0.668181818181818,0.212566844919786,0.269607843137255,2274.7
"8","North Carolina","Wake County","37183050900","Census Tract 509; Wake County; North Carolina",0.730846298,2578,1037,892,961,1967,291,3,219,0.372769588828549,0.76299456943367,0.0849495733126455,0.326233183856502,3111
"9","North Carolina","Wake County","37183051000","Census Tract 510; Wake County; North Carolina",0.375743269,2599,1742,1517,658,662,203,1.8,50,0.253174297806849,0.254713351288957,0.0192381685263563,0.133816743572841,3135.6
"10","North Carolina","Wake County","37183051101","Census Tract 511.01; Wake County; North Carolina",0.631529281,5068,582,523,684,1848,77,4.3,155,0.134964483030781,0.364640883977901,0.0305840568271507,0.147227533460803,2502.6
"11","North Carolina","Wake County","37183051102","Census Tract 511.02; Wake County; North Carolina",0.671349138,4534,66,54,64,1432,4,0,247,0.0141155712395236,0.315835906484341,0.0544772827525364,0.0740740740740741,0
"12","North Carolina","Wake County","37183051200","Census Tract 512; Wake County; North Carolina",0.723113833,4429,2746,2440,1082,775,158,1.7,30,0.244298938812373,0.174983066154888,0.00677353804470535,0.0647540983606557,4668.2
"13","North Carolina","Wake County","37183051400","Census Tract 514; Wake County; North Carolina",1.118291547,4753,2379,2065,1185,713,70,0,165,0.249316221333894,0.150010519671786,0.0347149168945929,0.0338983050847458,0
"14","North Carolina","Wake County","37183051501","Census Tract 515.01; Wake County; North Carolina",1.454312257,3869,1494,1359,232,570,0,0.8,34,0.0599638149392608,0.147324890152494,0.0087878004652365,0,1195.2
"15","North Carolina","Wake County","37183051502","Census Tract 515.02; Wake County; North Carolina",1.033069955,2144,1236,945,162,239,80,0,40,0.0755597014925373,0.111473880597015,0.0186567164179104,0.0846560846560847,0
"16","North Carolina","Wake County","37183051600","Census Tract 516; Wake County; North Carolina",1.525764293,4840,2196,2058,271,230,23,0.5,13,0.0559917355371901,0.0475206611570248,0.00268595041322314,0.011175898931001,1098
"17","North Carolina","Wake County","37183051700","Census Tract 517; Wake County; North Carolina",1.907449672,3786,1666,1538,130,207,9,2.2,28,0.0343370311674591,0.054675118858954,0.00739566825145272,0.005851755526658,3665.2
"18","North Carolina","Wake County","37183051800","Census Tract 518; Wake County; North Carolina",1.460409965,5626,2498,2323,588,771,93,1.6,88,0.104514752932812,0.137042303590473,0.0156416637042304,0.0400344382264313,3996.8
"19","North Carolina","Wake County","37183051900","Census Tract 519; Wake County; North Carolina",1.700651124,5163,2088,1948,1773,3357,162,3,568,0.343404997094712,0.650203370133643,0.11001355800891,0.0831622176591376,6264
"20","North Carolina","Wake County","37183052001","Census Tract 520.01; Wake County; North Carolina",1.312885411,4019,1623,1473,2139,3469,292,0.1,281,0.532221945757651,0.863150037322717,0.0699178900223936,0.198234894772573,162.3
"21","North Carolina","Wake County","37183052002","Census Tract 520.02; Wake County; North Carolina",1.493474196,5709,2022,1926,1657,5194,199,4.8,599,0.290243475214573,0.909791557190401,0.104922052898932,0.103322949117342,9705.6
"22","North Carolina","Wake County","37183052101","Census Tract 521.01; Wake County; North Carolina",2.923327663,8932,3315,3151,2853,7717,271,1.4,1055,0.319413345275414,0.86397223466189,0.118114643976713,0.0860044430339575,4641
"23","North Carolina","Wake County","37183052102","Census Tract 521.02; Wake County; North Carolina",1.670603122,7002,2137,2005,1800,6688,306,4.1,727,0.25706940874036,0.955155669808626,0.103827477863468,0.152618453865337,8761.7
"24","North Carolina","Wake County","37183052303","Census Tract 523.03; Wake County; North Carolina",0.447715771,3739,1430,1240,1668,1082,69,0,48,0.446108585183204,0.289382187750735,0.0128376571275742,0.0556451612903226,0
"25","North Carolina","Wake County","37183052304","Census Tract 523.04; Wake County; North Carolina",0.50849479,2944,1217,1029,1241,1201,37,3.6,44,0.421535326086957,0.407948369565217,0.014945652173913,0.0359572400388727,4381.2
"26","North Carolina","Wake County","37183052305","Census Tract 523.05; Wake County; North Carolina",2.743587916,1942,1158,869,468,703,62,1.3,96,0.240988671472709,0.361997940267765,0.0494335736354274,0.0713463751438435,1505.4
"27","North Carolina","Wake County","37183052306","Census Tract 523.06; Wake County; North Carolina",0.359478337,928,646,456,219,213,0,0,0,0.235991379310345,0.229525862068966,0,0,0
"28","North Carolina","Wake County","37183052307","Census Tract 523.07; Wake County; North Carolina",1.190435092,5502,2736,2398,1864,1890,67,0,23,0.338785896037804,0.343511450381679,0.00418029807342784,0.0279399499582986,0
"29","North Carolina","Wake County","37183052401","Census Tract 524.01; Wake County; North Carolina",5.112822144,6263,3261,2899,1044,1746,19,1.9,97,0.166693277981798,0.278780137314386,0.0154877854063548,0.00655398413245947,6195.9
"30","North Carolina","Wake County","37183052404","Census Tract 524.04; Wake County; North Carolina",1.232656118,3449,1529,1381,914,962,136,3.8,118,0.265004349086692,0.278921426500435,0.0342128153087852,0.0984793627805938,5810.2
"31","North Carolina","Wake County","37183052407","Census Tract 524.07; Wake County; North Carolina",1.387240162,4783,2294,2093,716,2161,228,1.7,311,0.149696842985574,0.451808488396404,0.0650219527493205,0.108934543717152,3899.8
"32","North Carolina","Wake County","37183052408","Census Tract 524.08; Wake County; North Carolina",0.404848024,3277,1377,1160,1690,1851,104,3.6,288,0.515715593530668,0.564845895636253,0.0878852609093683,0.0896551724137931,4957.2
"33","North Carolina","Wake County","37183052409","Census Tract 524.09; Wake County; North Carolina",0.426501783,3995,1548,1204,2006,2470,266,7.2,175,0.502127659574468,0.618272841051314,0.0438047559449312,0.22093023255814,11145.6
"34","North Carolina","Wake County","37183052410","Census Tract 524.10; Wake County; North Carolina",0.374739018,1345,704,555,465,682,0,7.2,140,0.345724907063197,0.507063197026022,0.104089219330855,0,5068.8
"35","North Carolina","Wake County","37183052411","Census Tract 524.11; Wake County; North Carolina",1.060846133,5314,3056,2687,1230,2649,161,3.3,423,0.231464057207377,0.49849454271735,0.0796010538200979,0.0599181243021958,10084.8
"36","North Carolina","Wake County","37183052504","Census Tract 525.04; Wake County; North Carolina",2.270003697,6678,4333,3832,842,1468,289,0.4,24,0.126085654387541,0.219826295297993,0.00359389038634322,0.0754175365344468,1733.2
"37","North Carolina","Wake County","37183052505","Census Tract 525.05; Wake County; North Carolina",1.322190469,4720,2589,2231,508,1340,133,0.8,265,0.107627118644068,0.283898305084746,0.0561440677966102,0.0596145226355894,2071.2
"38","North Carolina","Wake County","37183052506","Census Tract 525.06; Wake County; North Carolina",1.118112396,2276,1389,1204,166,327,119,0,30,0.0729349736379613,0.143673110720562,0.0131810193321617,0.0988372093023256,0
"39","North Carolina","Wake County","37183052507","Census Tract 525.07; Wake County; North Carolina",0.99973777,3002,1404,1269,295,966,119,0.6,75,0.0982678214523651,0.321785476349101,0.024983344437042,0.0937746256895193,842.4
"40","North Carolina","Wake County","37183052508","Census Tract 525.08; Wake County; North Carolina",1.24731448,3658,1888,1763,623,1180,133,0,58,0.170311645708037,0.32258064516129,0.0158556588299617,0.0754395916052184,0
